number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
2140	Сакральный текст	Новый Завет (Евангелие от Матфея)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Перчаткин Б.Г.	Огненные тропы	Сиэтл	2002	2002	1980	1992	Владивосток, тюрьма	Руководитель общины пятидесятников	asfcd/auth/?t=page&num=4210
2141	Сакральный текст	Новый Завет (Евангелие от Матфея)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Перчаткин Б.Г.	Огненные тропы	Сиэтл	2002	2002	1980	1991	Владивосток, тюрьма	Руководитель общины пятидесятников	asfcd/auth/?t=page&num=4206
2311	Сакральный текст	Новый Завет (Евангелие, Отче наш)	NA	NA	Пересказывают	стихи	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Ратушинская И.Б.	Серый – цвет надежды	Лондон	1989	1989	1985	1985	Мордовия, Саранск, ШИЗО в лагере	Поэтесса	asfcd/auth/?t=book&num=1783
471	Сакральный текст	Новый Завет (Евангелие, Отче наш)	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Ванеев А.А.	Два года в Абези: В память о Л.П. Карсавине	Брюссель	1990	1990	1952	1952	Коми, Абезьский лагерь	Епископ	asfcd/auth/?t=book&num=1699
2053	Сакральный текст	Новый Завет (Евангелие, Отче наш)	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Марцинковский В.Ф.	Записки верующего.	Новосибирск	1994	1994	1921	1921	Москва, Лубянская тюрьма	Богослов	asfcd/auth/?t=page&num=9337
1744	Сакральный текст	Новый Завет (Евангелие, Отче наш)	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Польская Е.Б.	Это мы, Господи, пред Тобою…	Невинномысск	1998	1998	1949	1952	Новосибирская обл., Кемеровская обл., Сиблаг	NA	asfcd/auth/?t=page&num=792
2189	Сакральный текст	Новый Завет (Евангелие, Отче наш)	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Труханов М.В.	Воспоминания: Первые сорок лет моей жизни	Минск	2010	2010	1941	1941	Нижегородская и Костромская обл., Унжлаг	Геодезист, священник	asfcd/auth/?t=page&num=13134
1396	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Боратынская К.Н.	Мои воспоминания	Москва	2007	2007	1918	1918	Москва, пересыльная тюрьма на Красной Пресне	Предводитель дворянства, земский деятель	asfcd/auth/?t=book&num=532
467	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагерной больнице	FALSE	Автор мемуаров	Ванеев А.А.	Два года в Абези: В память о Л.П. Карсавине	Брюссель	1990	1990	1951	1951	Коми, Абезьский лагерь	NA	asfcd/auth/?t=book&num=1699
2516	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Пересказывают и цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Винс Г.П.	Евангелие в узах	Электронный ресурс http://rusbaptist.stunda.org	NA	NA	1975	1979	Якутия, лагерь Большая Марха	Баптистский пресвитер	asfcd/auth/?t=page&num=13199
1818	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Волков О.В.	Погружение во тьму	Москва	1989	1989	1931	1933	Соловецкий лагерь	Священник	asfcd/auth/?t=book&num=1317
1190	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Далан (Яковлев В.С.)	Жизнь и судьба моя	Якутск	2003	2003	1952	1954	Нижегородская обл., ИТК №1	Учитель истории, инженер-плановик	asfcd/auth/?t=page&num=11993
2047	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Делоне В.Н.	Портреты в колючей раме	Омск	1993	1993	1969	1971	Тюмень, лагерь Тюмень-2	Писатель, диссидент	asfcd/auth/?t=page&num=8839
2051	Сакральный текст	Новый Завет (Евангелие)	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Марцинковский В.Ф.	Записки верующего.	Новосибирск	1994	1994	1921	1921	Москва, Лубянская тюрьма	Богослов	asfcd/auth/?t=page&num=9337
