number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
128	Гоголь Н.В.	Тарас Бульба	NA	1835	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Иоффе М.М.	Одна ночь: Повесть о правде	Нью-Йорк	1978	1978	1937	1937	Воркута, Воркутлаг	Партийный деятель	asfcd/auth/?t=book&num=674
1454	Гоголь Н.В.	Тарас Бульба	NA	1835	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Сомов Е.	Обыкновенная история в необыкновенной стране	Санкт-Петербург	2001	2001	1945	1945	Караганда, Песчлаг	NA	asfcd/auth/?t=book&num=758
1229	Гоголь Н.В.	Тарас Бульба	NA	1835	Цитируют	проза	русский	чтение книги вслух	заключенный	заключенный, блатной	в лагере	FALSE	Автор мемуаров	Климович Г.С.	Конец Горлага	Минск	1999	1999	1948	1949	Норильск, Горлаг, пос.Медвежка	Секретарь комсомольской организации техникума	asfcd/auth/?t=page&num=7566
650	Гоголь Н.В.	Тарас Бульба	NA	1835	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Угримов А.А.	Из Москвы в Москву через Париж и Воркуту	Москва	2004	2004	1948	1948	Москва, Лефортовская тюрьма	Агроном, переводчик	asfcd/auth/?t=page&num=10735
620	Гоголь Н.В.	NA	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в психиатрической больнице	FALSE	Заключенные	Буковский В.К.	И возвращается ветер...	Нью-Йорк	1978	1978	1963	1964	Ленинград, Ленинградская психиатрическая больница	NA	asfcd/auth/?t=page&num=5414
331	Гоголь Н.В.	NA	NA	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Киров, Кировская тюрьма	Работник культуры	asfcd/auth/?t=page&num=5048
1455	Гоголь Н.В.	NA	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Сомов Е.	Обыкновенная история в необыкновенной стране	Санкт-Петербург	2001	2001	1945	1945	Караганда, Песчлаг	NA	asfcd/auth/?t=book&num=757
1361	Гоголь Н.В.	NA	NA	NA	Пересказывают	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1945	1945	Оренбургская обл., Орская ИТК № 3	NA	asfcd/auth/?t=page&num=2897
657	Гоголь Н.В.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Плющ Л.И.	На карнавале истории	Лондон	1979	1979	1972	1973	Москва, Лефортовская тюрьма	Математик	asfcd/auth/?t=book&num=2056
1135	Головатенко Ю.	Эх, романтика, синий дым...	<Стихи приписаны Ю. Т. Галанскову>	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в психиатрической больнице	FALSE	Заключенный	Ветохин Ю.А.	Склонен к побегу	США	1983	1983	1967	1967	Москва, Институт им. Сербского	Журналист	asfcd/auth/?t=page&num=5575
1522	Голсуорси Дж.	Сага о Форсайтах	NA	1921	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в ссылке	FALSE	Автор мемуаров	Афанасова (Колюбакина) Н.А.	Жизненный путь	Санкт-Петербург	2005	2005	1954	1959	Красноярский край, Почет (ссылка)	Врач	asfcd/auth/?t=page&num=1083
655	Голсуорси Дж.	Сага о Форсайтах	NA	1921	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Плющ Л.И.	На карнавале истории	Лондон	1979	1979	1972	1973	Москва, Лефортовская тюрьма	Математик	asfcd/auth/?t=page&num=12076
2081	Голсуорси Дж.	Сага о Форсайтах	NA	1921	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера	Нарва	2005	2005	1949	1949	Таллин, тюрьма на Батарейной	Актер, журналист	asfcd/auth/?t=page&num=5048
2038	Гольдони К.	Трактирщица	NA	1753	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1951	1956	Мурманская обл., Туломская ГЭС	NA	asfcd/auth/?t=book&num=1072
149	Гольдони К.	Трактирщица	NA	1753	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Маркова Е.В.	Воркутинские заметки каторжанки Е-105	Сыктывкар	2005	2005	1947	1947	Воркута, Воркутлаг	Доктор технических наук	asfcd/auth/?t=page&num=10622
377	Гольдони К.	Трактирщица	Хоязйка гостиницы	1753	Пересказывают	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=5048
1876	Гольдони К.	Трактирщица	Мирандолина; Хозяйка гостиницы	1753	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенный	Чирков Ю.И.	А было всё так…	Москва	1991	1991	1935	1938	Соловецкий лагерь	Метеоролог	asfcd/auth/?t=page&num=2377
167	Гольдони К.	Хозяйка гостиницы	NA	1753	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Котляр Э.И.	Фауст в ИТЛ	Москва	1995	1995	1936	1942	Воркута, Воркутлаг	NA	asfcd/auth/?t=book&num=1479
1925	Гольц-Миллер И.И.	Слу-шай!	Слушай!	1863	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Ефимов И.И.	Не сотвори себе кумира	Ленинград	1990	1990	1937	1938	Старая Русса, тюрьма	NA	asfcd/auth/?t=page&num=9771
1469	Гольц-Миллер И.И.	Слу-шай!	Народная Песня Темнее той ночи встает из тумана видением мрачным тюрьма…	1863	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на этапе	FALSE	Заключенный	Лейтман С.М.	Жернова	Москва	2001	2001	1927	1927	Баку, тюрьма	NA	asfcd/auth/?t=book&num=40
1612	Гольц-Миллер И.И.	Слу-шай!	Народная Песня	1863	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Тарский В.Л.	Год в наморднике	Москва	2002	2002	1939	1939	Ржев, городская тюрьма	Учитель	asfcd/auth/?t=page&num=9602
67	Гольц-Миллер И.И.	Слу-шай!	Народная Песня (Как дело измены)	1863	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Якир П.	Детство в тюрьме	Лондон	1972	1972	1937	1937	Астрахань, Астраханская тюрьма	Священники	asfcd/auth/?t=page&num=7781
231	Гольц-Миллер И.И.	Слу-шай!	Слу-шай!	1863	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1945	1948	Иркутская область, Александровский централ	Актер, театровед, литератор	asfcd/auth/?t=page&num=12808
2446	Гольц-Миллер И.И.	Слу-шай!	Народная Песня Тюрьма	1863	Цитируют	песня	русский	пение в кругу равных и блатных	заключенный, блатной	заключенный, блатной	на этапе	FALSE	Заключенный	Нахмансон М.С.	Перерыв в партстаже	Новгород	1992	1992	1936	1936	Колыма, этап	Военный, генерал	asfcd/auth/?t=author&i=118
1755	Гомер	Илиада	NA	-800	Пересказывают и цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1950	1951	Кемеровская обл., Сиблаг, Суслово	Актер, театровед, литератор	asfcd/auth/?t=page&num=12832
59	Гомер	Илиада	NA	-800	Цитируют	стихи	древнегреческий	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Марголин Ю.Б.	Путешествие в страну ЗЭ-КА	Нью-Йорк	1952	1952	1942	1942	Архангельская обл., Каргопольлаг	Философ	asfcd/auth/?t=page&num=6008
1813	Гомер	Илиада	NA	-800	Цитируют	стихи	русский	чтение книги вслух	заключенный	заключенный, блатной	в лагере	FALSE	Автор мемуаров	Волков О.В.	Погружение во тьму	Москва	1989	1989	1931	1933	Соловецкий лагерь	Писатель	asfcd/auth/?t=book&num=1318
1053	Гомер	Одиссея	NA	-800	Цитируют	стихи	древнегреческий	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Иванов-Разумник Р.В.	Тюрьмы и ссылки	Санкт-Петербург	1994	1994	1938	1938	Москва, Бутырская тюрьма	Литературовед	asfcd/auth/?t=book&num=1788
1757	Гомер	Одиссея	NA	-800	Пересказывают и цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1950	1951	Кемеровская обл., Сиблаг, Суслово	Актер, театровед, литератор	asfcd/auth/?t=page&num=12832
45	Гомер	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Смирнов В.И.	Цветок клюквы и веточка карликовой берёзы : Судьбы краеведов	Сергиев Посад	2016	2016	1931	1931	Архангельская обл., Исакогорка	Краевед, археолог, этнограф	asfcd/auth/?t=page&num=13277
1209	Гомер	NA	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Штейн С.И. (Козерюк Сергей Александрович, псевд. Снегов С.А.)	Язык, который ненавидит	Москва	1991	1991	1939	1939	Норильск, Норильлаг	Писатель	asfcd/auth/?t=book&num=692
1421	Гомер	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Тимофеев Л.	Моление о чаше	Париж	1989	1989	1985	1986	Пермский край, Кучино, 36-й Пермский политический лагерь	Экономист, писатель, журналист	asfcd/auth/?t=page&num=1093
1227	Гончаров И.А.	Обрыв	NA	1869	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Климович Г.С.	Конец Горлага	Минск	1999	1999	1948	1949	Норильск, Горлаг, пос.Медвежка	Секретарь комсомольской организации техникума	asfcd/auth/?t=page&num=7566
1790	Гончаров И.А.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Конюхов Н.Г.	Исповедь заговорщика	Москва	2004	2004	1938	1938	Смоленск, Смоленская городская тюрьма, камера смертников	Бригадный комиссар	asfcd/auth/?t=page&num=1326
976	Гончаров И.А.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Мелентьев М.М.	Мой час и мое время: Книга воспоминаний	Санкт-Петербург	2001	2001	1933	1933	Москва, Бутырская тюрьма	Врач	asfcd/auth/?t=page&num=6120
2243	Гончаров И.А.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Рабинович М.Б.	Воспоминания долгой жизни	Санкт-Петербург	1996	1996	1951	1951	Хакасия, ИТЛ Юлия	Историк	asfcd/auth/?t=page&num=1384
2084	Гончаров И.А.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Рацевич С.В.	Глазами журналиста и актера	Нарва	2005	2005	1949	1949	Таллин, тюрьма на Батарейной	Актер, журналист	asfcd/auth/?t=page&num=5048
1055	Гораций	Exegi monumentum (К Мельпомене)	NA	-23	Цитируют	стихи	латынь	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Иванов-Разумник Р.В.	Тюрьмы и ссылки	Санкт-Петербург	1994	1994	1938	1938	Москва, Бутырская тюрьма	Литературовед	asfcd/auth/?t=book&num=1788
9	Гораций	NA	NA	NA	Цитируют	стихи	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Флоренский П.А.	Письма с дальнего Востока и Соловков	Москва	1998	1998	1933	1933	Амурская обл., Бамлаг	Священник, философ	asfcd/auth/?t=page&num=6697
1850	Гордин Я.М.	Каширская старина	NA	1880	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Ширяев Б.Н.	Неугасимая лампада	Москва	NA	NA	1923	1927	Соловецкий лагерь	NA	asfcd/auth/?t=page&num=1046
1856	Гордин Я.М.	Псиша	NA	NA	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Ширяев Б.Н.	Неугасимая лампада	Москва	NA	NA	1923	1927	Соловецкий лагерь	NA	asfcd/auth/?t=page&num=1048
1858	Гордин Я.М.	Сатана	NA	1910	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Ширяев Б.Н.	Неугасимая лампада	Москва	NA	NA	1923	1927	Соловецкий лагерь	NA	asfcd/auth/?t=page&num=1048
1860	Гордин Я.М.	Старый закал	NA	NA	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Ширяев Б.Н.	Неугасимая лампада	Москва	NA	NA	1923	1927	Соловецкий лагерь	NA	asfcd/auth/?t=page&num=1048
2029	Горький М.	Васса Железнова	NA	1910	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1951	1956	Мурманская обл., Туломская ГЭС	NA	asfcd/auth/?t=book&num=1072
27	Горький М.	Враги	NA	1906	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
2250	Горький М.	Девушка и смерть	NA	1917	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Брухис Л.И.	Чужой спектакль: книга воспоминаний	Рига	1990	1990	1943	1950	Бурятия, Холтосон	Актер	asfcd/auth/?t=page&num=11412
1873	Горький М.	Детство	NA	1913	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Чирков Ю.И.	А было всё так…	Москва	1991	1991	1935	1938	Соловецкий лагерь	Юрист	asfcd/auth/?t=page&num=2377
29	Горький М.	Егор Булычев	NA	1931	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
75	Горький М.	Егор Булычев	NA	1931	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенный	Нильский М. (Хорошев И.М.)	Воркута	Сыктывкар	1991	1991	1933	1933	Беломорканал	NA	asfcd/auth/?t=page&num=219
404	Горький М.	Жизнь Клима Самгина	NA	1936	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Амальрик А.А.	Записки диссидента.	Анн Арбор	1982	1982	1970	1973	Колыма	Публицист	asfcd/auth/?t=book&num=1416
1049	Горький М.	Жизнь Клима Самгина	NA	1936	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Федин Э.И.	Филин на развалинах	Санкт-Петербург	2000	2000	1949	1949	Москва, Бутырская тюрьма	Комкор, бывший парторг наркомата обороны	asfcd/auth/?t=page&num=11919
1307	Горький М.	Как поймали Семагу	NA	1895	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Коган М.И.	Исповедь строптивого адвоката	Москва	2002	2002	1945	1948	Ховрино, ОЛП №1	Адвокат	asfcd/auth/?t=page&num=8286
1400	Горький М.	Легенда о Марко	Валашская легенда	1903	Цитируют	стихи	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Клейн А.С.	Клейменые, или Один среди одиноких: Записки каторжника	Сыктывкар	1995	1995	1944	1944	Свердловск, Новосибирск, Пермь, пересыльные тюрьмы	Актер, театровед, литератор	asfcd/auth/?t=page&num=12796
13	Горький М.	Легенда о Марко	NA	1903	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	на работах	FALSE	Автор мемуаров	Ефимов И.И.	Не сотвори себе кумира	Ленинград	1990	1990	1938	1938	Амурская обл., Бамлаг	Журналист, финработник	asfcd/auth/?t=page&num=9779
790	Горький М.	Легенда о Марко	NA	1903	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенная	Мамаева Е.А.	Жизнь прожить...	Москва	1998	1998	1938	1938	Москва, Лубянская тюрьма	NA	asfcd/auth/?t=book&num=1656
1694	Горький М.	Легенда о Марко	NA	1903	Цитируют	стихи	русский	рассказ сотрудникам внутренних органов	заключенный	сотрудник внутренних органов	в лагере	FALSE	Автор мемуаров	Солоневич И.Л.	Россия в концлагере	Москва	1999	1999	1934	1934	Ленинградская обл., Свирьлаг	Общественный деятель	asfcd/auth/?t=page&num=12287
1711	Горький М.	Макар Чудра	NA	1892	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Старчиков Б.А.	Мне повезло	Москва	2006	2006	1947	1948	Печора, Севжелдорлаг	NA	asfcd/auth/?t=page&num=7292
1050	Горький М.	Мать	NA	1906	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Федин Э.И.	Филин на развалинах	Санкт-Петербург	2000	2000	1949	1949	Москва, Бутырская тюрьма	Комкор, бывший парторг наркомата обороны	asfcd/auth/?t=page&num=11919
35	Горький М.	Мать	NA	1906	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
397	Горький М.	Мать	NA	1906	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Амальрик А.А.	Нежеланное путешествие в Сибирь	Нью-Йорк	1970	1970	1970	1973	Колыма	Публицист	asfcd/auth/?t=page&num=11029
661	Горький М.	Мать	NA	1906	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Автор мемуаров	Улановская Н.М., Улановская М.А.	История одной семьи: Мемуары	Санкт-Петербург	2003	2003	1951	1951	Москва, Лефортовская тюрьма	Правозащитница	asfcd/auth/?t=page&num=11879
1742	Горький М.	На дне	NA	1902	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Белоусов В. (Владимиров С.)	Записки доходяги	Ашхабад	1992	1992	1942	1942	Новосибирская обл., Кемеровская обл., Сиблаг	NA	asfcd/auth/?t=page&num=11056
1203	Горький М.	На дне	NA	1902	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Бергер И.М.	Крушение поколения	Флоренция	1973	1973	1939	1941	Норильск, Норильлаг	Инженер	asfcd/auth/?t=page&num=9111
36	Горький М.	На дне	NA	1902	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
374	Горький М.	На дне	NA	1902	Пересказывают	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Рацевич С.В.	Глазами журналиста и актера: Из виденного и пережитого. Т. 2. Ч. 1.	Нарва	2005	2005	1941	1945	Кировская обл., Вятлаг	NA	asfcd/auth/?t=page&num=5048
1854	Горький М.	На дне	NA	1902	Цитируют	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Ширяев Б.Н.	Неугасимая лампада	Москва	NA	NA	1922	1929	Соловецкий лагерь	NA	asfcd/auth/?t=page&num=1048
40	Горький М.	Песня о Буревестнике	Буревестник	1901	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Дасковский А.А.	О том, что не должно забываться. Воспоминания 1950-1956 гг.	Москва, Вашингтон	2005	2005	1931	1933	Архангельская обл., Вайгач	NA	asfcd/auth/?t=book&num=1072
503	Горький М.	Песня о Буревестнике	NA	1901	Цитируют	стихи	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенный	Колпикова Е.Ф.	Мы из Гулага	Москва	2009	2009	1941	1946	Коми, Интинский ИТЛ	Актер	asfcd/auth/?t=book&num=2160
271	Горький М.	Песня о Соколе	NA	1894	Цитируют	стихи	русский	рассказ сотрудникам внутренних органов	заключенный	сотрудник внутренних органов	в лагере	FALSE	Автор мемуаров	Икрамов К.А.	Дело моего отца	Москва	1991	1991	1951	1955	Караганда, Карлаг	Писатель	asfcd/auth/?t=book&num=1352
616	Горький М.	Песня о Соколе	NA	1894	Цитируют	стихи	русский	рассказ сотрудникам внутренних органов	заключенный	сотрудник внутренних органов	NA	FALSE	Автор мемуаров	Михайлович В.А.	О времени, о Норильске, о себе…	Москва	2005	2005	1951	1951	Ленинградская пересыльная тюрьма	NA	asfcd/auth/?t=page&num=11906
2281	Горький М.	Старуха Изергиль	NA	1894	Пересказывают	проза	русский	пересказ для блатных	заключенный	блатной	в лагере	FALSE	Автор мемуаров	Климович Г.С.	Конец Горлага	Минск	1999	1999	1949	1953	Норильск, Цемстрой	Секретарь комсомольской организации техникума	asfcd/auth/?t=book&num=931
2490	Горький М.	Старуха Изергиль	Легенда о Данко	1894	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Носова О.П.	В объятиях удава: воспоминания узницы ГУЛАГа	Санкт-Петербург	2001	2001	1949	1949	Мордовия, Явас	Филолог	asfcd/auth/?t=page&num=7323
2488	Горький М.	Старуха Изергиль	NA	1894	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Носова О.П.	В объятиях удава: Воспоминания узницы ГУЛАга	Санкт-Петербург	2001	2001	1949	1950	Мордовия, Явас	Связист	asfcd/auth/?t=page&num=7323
969	Горький М.	Трое	NA	1900	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в тюремной камере	FALSE	Заключенный	Иванов-Разумник Р.В.	Тюрьмы и ссылки	Санкт-Петербург	1994	1994	1938	1938	Москва, Бутырская тюрьма	Военный	asfcd/auth/?t=book&num=1788
440	Горький М.	Часы	NA	1896	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Автор мемуаров	Туманов В.И.	Все потерять - и вновь начать с мечты...	Москва	2004	2004	1949	1956	Колыма, Дальстрой	Штурман корабля	asfcd/auth/?t=page&num=7071
2394	Горький М.	Челкаш	NA	1895	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Морозов А.Г.	Девять ступеней в небытие	Саратов	1991	1991	1945	1945	Магадан, этап	Вор	asfcd/auth/?t=book&num=984
1158	Горький М.	NA	NA	NA	Цитируют	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Коган М.И.	Исповедь строптивого адвоката	Москва	2002	2002	1948	1949	Москва, пересыльная тюрьма на Красной Пресне	Адвокат	asfcd/auth/?t=page&num=8286
1968	Горький М.	NA	Рассказы	NA	Пересказывают	проза	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенные	Шульц В.А.	Таганка; В Средней Азии	Москва	1989	1989	1938	1938	Москва, Таганская тюрьма	NA	asfcd/auth/?t=page&num=7234
1362	Горький М.	NA	NA	NA	Пересказывают	проза	русский	ставили в театре	заключенный	заключенный, блатной, сотрудник внутренних органов	NA	FALSE	Заключенные	Фельдгун Г.Г.	Записки лагерного музыканта	Новосибирск	1998	1998	1945	1945	Оренбургская обл., Орская ИТК № 3	NA	asfcd/auth/?t=page&num=2897
1996	Горький М.	NA	NA	NA	Цитируют	проза	русский	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Улановская Н.М., Улановская М.А.	История одной семьи: Мемуары	Санкт-Петербург	2003	2003	1952	1952	Иркутская обл., Тайшетлаг	Правозащитница	asfcd/auth/?t=book&num=1192
1580	Гофман В.В.	У меня для тебя	Видишь, сколько любви в моем нежном взволнованном взоре…	1902	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Боровский О.Б.	Рентген сторого режима	Москва	2009	2009	1949	1951	Воркута, Речлаг	NA	asfcd/auth/?num=13210&t=page
1114	Гофман Э.Т.А.	Повелитель блох. Сказка в семи приключениях двух друзей	NA	1822	Пересказывают	проза	русский	рассказ в кругу равных и блатным	заключенный	заключенный, блатной	в тюремной камере	FALSE	Автор мемуаров	Штейн С.И. (Козерюк Сергей Александрович, псевд. Снегов С.А.)	Язык, который ненавидит	Москва	1991	1991	1936	1936	Москва, Бутырская тюрьма	Писатель	asfcd/auth/?t=book&num=692
442	Гребенка Е.	Очи черные	NA	1843	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Туманов В.И.	Все потерять - и вновь начать с мечты...	Москва	2004	2004	1949	1956	Колыма, Дальстрой	NA	asfcd/auth/?t=page&num=7071
1075	Гребёнка Е.	Помню, я еще молодушкой была	Народная Песня	1841	Цитируют	песня	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Автор мемуаров	Булгаков В.А.	Письма из юности	Москва	2005	2005	1956	1956	Москва, Бутырская тюрьма	Писатель	asfcd/auth/?t=book&num=725
